Match_Id,Player_Id,Player_team,Opposit_Team,Player_Captain,Opposit_captain,Player_keeper,Opposit_keeper
1082605,339,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,345,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
1082605,350,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,351,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,364,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
1082605,367,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
1082605,372,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,374,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
1082605,393,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,405,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,420,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,421,Delhi Daredevils,Kings XI Punjab,Z Khan,GJ Maxwell,RR Pant,WP Saha
1082605,422,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
1082605,427,Kings XI Punjab,Delhi Daredevils,GJ Maxwell,Z Khan,WP Saha,RR Pant
1082606,2,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082606,14,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082606,17,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,21,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082606,35,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082606,50,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,57,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,88,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082606,126,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082606,147,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082606,194,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,221,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,375,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,400,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,403,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,407,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,410,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082606,413,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,431,Mumbai Indians,Gujarat Lions,RG Sharma,SK Raina,PA Patel,KD Karthik
1082606,471,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082606,477,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082606,481,Gujarat Lions,Mumbai Indians,SK Raina,RG Sharma,KD Karthik,PA Patel
1082607,8,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
1082607,20,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082607,32,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
1082607,85,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082607,87,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082607,110,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
1082607,236,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
1082607,237,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
